Court Name,Case Number,Decision Number,Decision Date,Status,Explanation
İstanbul Bölge Adliye Mahkemesi 18. Hukuk Dairesi,2018/183,2018/128,25.01.2018,KESİNLEŞTİ,N/A
İstanbul Bölge Adliye Mahkemesi 37. Hukuk Dairesi,2018/1903,2019/430,28.01.2019,KESİNLEŞTİ,N/A
İstanbul Bölge Adliye Mahkemesi 13. Hukuk Dairesi,2019/1311,2019/887,20.06.2019,KESİNLEŞTİ,N/A
İstanbul Bölge Adliye Mahkemesi 37. Hukuk Dairesi,2020/21,2020/123,17.01.2020,KESİNLEŞTİ,N/A
İstanbul Bölge Adliye Mahkemesi 37. Hukuk Dairesi,2018/1122,2018/1457,26.09.2018,KESİNLEŞTİ,N/A
Antalya Bölge Adliye Mahkemesi 5. Hukuk Dairesi,2022/2997,2022/2142,23.09.2022,KESİNLEŞTİ,N/A
İzmir Bölge Adliye Mahkemesi 20. Hukuk Dairesi,2021/413,2021/309,15.04.2021,KESİNLEŞTİ,N/A
İstanbul Bölge Adliye Mahkemesi 37. Hukuk Dairesi,2019/1534,2019/2677,20.11.2019,KESİNLEŞTİ,N/A
İstanbul Bölge Adliye Mahkemesi 37. Hukuk Dairesi,2018/901,2018/1312,12.09.2018,KESİNLEŞTİ,N/A
İstanbul Bölge Adliye Mahkemesi 37. Hukuk Dairesi,2018/457,2018/1219,10.07.2018,KESİNLEŞTİ,N/A
